fixed_ip,mac,name
192.168.1.101,44:39:c4:50:9c:55,Manish_LenovoDesktop
192.168.1.102,f8:0d:ac:6a:d9:69,Manish_OfficeLaptop_HP
192.168.1.103,b0:09:da:63:37:a1,Manish_RingBaseStation
192.168.1.104,9c:ad:ef:22:5b:81,Manish_Obi202
192.168.1.106,30:05:5c:19:24:63,Manish_BrotherPrinter
192.168.1.107,34:51:80:3c:95:bd,Manish_Office_TV
192.168.1.109,d8:8b:4c:fc:46:5c,Manish_YOL_WaterLeak_Hub
192.168.1.110,14:ae:85:70:a2:36,Manish_Mediaroom_GTV
192.168.1.111,68:da:73:a6:3b:11,Manish_Livingroom_GTV
192.168.1.112,fc:8c:11:ed:fe:50,Manish_XBOX
192.168.1.113,74:C1:7E:D6:56:59,Manish_LG_OLED_TV
192.168.1.131,f8:e4:3b:ea:52:23,Bhavan_Laptop
192.168.1.200,b4:99:ba:bc:0e:84,SERVER_PROXMOX
192.168.1.201,8e:a9:eb:46:8e:c0,SERVER_DEBIAN_HA
192.168.1.203,7e:96:d7:20:7d:84,SERVER_DEBIAN_GUI
192.168.1.205,c8:9c:dc:61:ac:57,SERVER_OMV
192.168.1.212,b4:99:ba:bc:0e:84,SERVER_HP_ILO
192.168.2.100,08:8b:c8:49:ef:f4,Manish_Pixel9Pro
192.168.2.101,9e:13:04:e2:23:2a,Manish_Galaxy_Note10
192.168.2.103,00:08:22:68:3d:fe,Manish_Tablet
192.168.2.104,14:c1:4e:cf:9c:12,Manish_Livingroom_GTV_Wifi
192.168.2.105,14:c1:4e:cf:9c:12,Manish_LG_OLED_TV
192.168.2.120,c8:2a:dd:b1:99:27,Sonal_Pixel7
192.168.2.121,7C:B2:7D:D1:E4:8A,Sonal_Lenovo_Laptop
192.168.2.130,F8:0F:F9:E6:65:F9,Bhavan_Pixe17
192.168.2.131,40:23:43:92:24:6f,Bhavan_Laptop
192.168.2.140,28:34:ff:5a:1a:ef,Navadha_Iphone15
192.168.2.141,34:42:62:54:58:0d,Navadha_iPad
192.168.2.142,08:f8:bc:71:e2:d5,Navadha_Laptop
192.168.2.151,a8:8f:d9:51:31:25,Niyati_MacbookAir
192.168.2.153,fc:9c:a7:e4:e4:08,Niyati_Iphone15
192.168.3.101,ec:71:db:b2:18:9a,Home3_Camera_Entrance
192.168.3.102,ec:71:db:89:f9:58,Home3_Camera_Driveway
192.168.3.103,ec:71:db:59:cb:d4,Home3_Camera_BackYard
192.168.3.104,ec:71:db:65:f6:ca,Home3_Camera_Patio
192.168.4.101,f4:f5:d8:b0:f0:ea,Home4_Google_Gameroom
192.168.4.102,48:d6:d5:7e:ec:3c,Home4_Google_Office
192.168.4.103,44:07:0b:6b:4a:fe,Home4_Master_Nest_Display
192.168.4.104,48:d6:d5:f4:ec:66,Home4_Google_Temple
192.168.4.105,10:2c:6b:f1:29:74,Home4_Google_LenovoMasterBed
192.168.4.106,7c:61:66:80:ee:74,Home4_NavadhaBed_EchoDot
192.168.4.107,64:52:99:c0:41:8a,Home4_MyQ-98A
192.168.4.108,64:90:c1:06:6e:e8,Home4_Roborock
192.168.4.109,dc:4f:22:d1:9a:15,Home4_NiyatiBedroom_Lamp
192.168.4.110,84:0d:8e:52:b2:fe,Home4_Massager
192.168.4.111,7c:87:ce:63:23:24,Home4_Shelly_Pantry
192.168.4.112,68:c6:3a:fb:78:2c,Home4_Shelly_MasterBedRoom
192.168.4.113,68:c6:3a:fb:91:15,Home4_Shelly_Livingroom
192.168.4.114,68:c6:3a:fb:98:84,Home4_Shelly_Entrance
192.168.4.115,34:94:54:77:af:3c,Home4_Shelly_Gameroom
192.168.4.116,8c:aa:b5:c5:11:2b,Home4_Shelly_PatioLight
192.168.4.117,e8:68:e7:53:c8:1e,Home4_SmartPlug_1
192.168.4.118,e4:c3:2a:a0:97:ab,Home4_SmartPIug_2
192.168.4.119,e4:c3:2a:a0:7d:92,Home4_Gameroom_Lamp
192.168.4.120,e8:48:b8:79:e0:d8,Home4_Subwoofer
192.168.4.121,e4:c3:2a:a0:63:fe,Home4_Living_Lamp
192.168.4.122,e4:c3:2a:a0:9d:21,Home4_Master_NightLamp
192.168.4.123,a4:e5:7c:8b:04:35,Home4_ColorBulb_1
192.168.4.124,e8:68:e7:54:51:f0,Home4_CoIorBuIb_2
192.168.4.125,8c:aa:b5:65:f4:3b,Home4_ColorBulb_3
192.168.4.126,94:b9:7e:09:34:a5,Home4_ColorBulb_4
192.168.4.127,8c:aa:b5:65:f8:53,Home4_ColorBulb_5
192.168.4.128,74:f9:ca:ee:d2:fd,Home4_Nintendo
192.168.4.129,18:b4:30:bb:fa:f5,Home4_NestThermo_Downstair
192.168.4.130,18:b4:30:c2:c3:31,Home4_NestThermo_Upstair
192.168.4.133,02:11:22:76:15:90,Home4_RingDoorBell
192.168.4.134,34:3e:a4:52:aa:51,Home4_RingChime
192.168.4.136,d8:6c:63:60:5e:ee,Home4_Chromecast_Bhavanbedroom
192.168.4.137,54:32:04:60:68:98,Home4_Shelly_KitchenPantry
192.168.4.139,84:d8:1b:72:3f:42,Home4_MediaLight
192.168.4.140,fc:d7:49:b9:a6:e0,Home4_Echo_POP
192.168.4.142,1c:53:f9:89:32:ae,Home4_Nest_DispIay_Kitchen
192.168.4.145,40:ed:00:d7:1a:2d,Home4_Garage_InWall_Plug
192.168.4.146,a4:5c:27:6a:f5:55,Home4_WiiGameConsole
192.168.4.147,00:09:b0:3a:d9:55,Home4_OnkyoReceiver
192.168.4.148,9c:50:d1:12:01:82,Home4_Rachio
192.168.4.150,00:24:e4:9a:8c:f6,Home4_Withings_BedPad
192.168.4.151,a4:7e:fa:06:b8:16,Home4_Withings_BPMachine
192.168.4.152,54:32:04:60:71:b8,Home4_Shelly_DrivewayLight
192.168.4.153,54:32:04:65:2F:D0,Home4_Shelly_Laundryroom_Light
192.168.4.154,b8:06:0d:8b:9e:de,Home4_Laundryroom_Door
192.168.4.155,b8:06:0d:8b:9e:de,Home4_Masterbed_Nest_Speaker
